Country,Year ending,Activities,Value
Australia,YEDec 2003,A bar or nightclub,94618
Australia,YEDec 2001,A bar or nightclub,53170
Australia,YEDec 2002,A bar or nightclub,45237
Canada,YEDec 2003,A bar or nightclub,9002
Australia,YEDec 1997,A bar or nightclub,44233
Australia,YEDec 2000,A bar or nightclub,47208
Canada,YEDec 2001,A bar or nightclub,5583
Canada,YEDec 2002,A bar or nightclub,4487
Australia,YEDec 1998,A bar or nightclub,58631
Australia,YEDec 1999,A bar or nightclub,40863
Australia,YEDec 2007,A bar or nightclub,113449
Australia,YEDec 2009,A bar or nightclub,134683
Australia,YEDec 2011,A bar or nightclub,184635
Australia,YEDec 2012,A bar or nightclub,171082
Canada,YEDec 1997,A bar or nightclub,3952
Canada,YEDec 1999,A bar or nightclub,2775
Canada,YEDec 2000,A bar or nightclub,5164
Canada,YEDec 2011,A bar or nightclub,8189
Australia,YEDec 2006,A bar or nightclub,142953
Australia,YEDec 2008,A bar or nightclub,109370
Australia,YEDec 2010,A bar or nightclub,174011
Australia,YEDec 2015,A bar or nightclub,392230
Australia,YEJun 1998,A bar or nightclub,61503
Australia,YEJun 1999,A bar or nightclub,40525
Australia,YEJun 2000,A bar or nightclub,45630
Australia,YEJun 2001,A bar or nightclub,55613
Australia,YEJun 2002,A bar or nightclub,44782
Australia,YEJun 2005,A bar or nightclub,118314
Australia,YEJun 2006,A bar or nightclub,141425
Australia,YEJun 2007,A bar or nightclub,118745
Australia,YEJun 2008,A bar or nightclub,122473
Canada,YEDec 1998,A bar or nightclub,4420
Canada,YEDec 2007,A bar or nightclub,6051
Canada,YEDec 2008,A bar or nightclub,9569
Canada,YEDec 2009,A bar or nightclub,7715
Canada,YEDec 2010,A bar or nightclub,7590
Canada,YEDec 2012,A bar or nightclub,6504
Australia,YEDec 2004,A bar or nightclub,139282
Australia,YEDec 2005,A bar or nightclub,127591
Australia,YEDec 2013,A bar or nightclub,259091
Australia,YEDec 2014,A bar or nightclub,371167
Australia,YEJun 2003,A bar or nightclub,71257
Australia,YEJun 2004,A bar or nightclub,126945
Australia,YEJun 2009,A bar or nightclub,114886
Australia,YEJun 2010,A bar or nightclub,156659
Australia,YEJun 2011,A bar or nightclub,169017
Australia,YEJun 2012,A bar or nightclub,191431
Australia,YEJun 2013,A bar or nightclub,172900
Australia,YEJun 2014,A bar or nightclub,355483
Canada,YEDec 2004,A bar or nightclub,7936
Canada,YEDec 2005,A bar or nightclub,8294
Canada,YEDec 2006,A bar or nightclub,8017
Canada,YEDec 2013,A bar or nightclub,9538
Canada,YEDec 2014,A bar or nightclub,13854
Canada,YEDec 2015,A bar or nightclub,13564
Canada,YEJun 1998,A bar or nightclub,5534
Canada,YEJun 1999,A bar or nightclub,2936
Canada,YEJun 2000,A bar or nightclub,3150
Canada,YEJun 2001,A bar or nightclub,6662
Canada,YEJun 2002,A bar or nightclub,4428
Canada,YEJun 2003,A bar or nightclub,7050
Canada,YEJun 2004,A bar or nightclub,9555
Canada,YEJun 2005,A bar or nightclub,8202
Canada,YEJun 2006,A bar or nightclub,8209
Canada,YEJun 2007,A bar or nightclub,4802
Canada,YEJun 2008,A bar or nightclub,9374
Canada,YEJun 2009,A bar or nightclub,9401
Canada,YEJun 2010,A bar or nightclub,6715
Canada,YEJun 2011,A bar or nightclub,7563
Canada,YEJun 2012,A bar or nightclub,6861
Canada,YEJun 2013,A bar or nightclub,9151
Canada,YEJun 2014,A bar or nightclub,11968
China,YEDec 1998,A bar or nightclub,145
China,YEDec 1999,A bar or nightclub,549
China,YEDec 2000,A bar or nightclub,247
China,YEDec 2001,A bar or nightclub,1007
Germany,YEDec 1997,A bar or nightclub,6857
Germany,YEDec 1998,A bar or nightclub,4606
Germany,YEDec 1999,A bar or nightclub,5020
Germany,YEDec 2000,A bar or nightclub,6270
Germany,YEDec 2001,A bar or nightclub,6083
Japan,YEDec 1997,A bar or nightclub,6334
Japan,YEDec 1998,A bar or nightclub,6267
Japan,YEDec 1999,A bar or nightclub,3403
Japan,YEDec 2000,A bar or nightclub,2688
Japan,YEDec 2001,A bar or nightclub,3643
"Korea, Republic of",YEDec 1997,A bar or nightclub,1370
"Korea, Republic of",YEDec 1998,A bar or nightclub,409
"Korea, Republic of",YEDec 1999,A bar or nightclub,614
"Korea, Republic of",YEDec 2000,A bar or nightclub,1359
Australia,YEMar 2015,A bar or nightclub,376474
Australia,YEMar 2016,A bar or nightclub,397750
Australia,YESep 1998,A bar or nightclub,59212
Australia,YESep 1999,A bar or nightclub,39558
Australia,YESep 2000,A bar or nightclub,46540
Australia,YESep 2001,A bar or nightclub,56055
Australia,YESep 2002,A bar or nightclub,45628
Australia,YESep 2003,A bar or nightclub,82043
Australia,YESep 2004,A bar or nightclub,138922
Australia,YESep 2005,A bar or nightclub,123536
Australia,YESep 2006,A bar or nightclub,138160
Australia,YESep 2007,A bar or nightclub,109811
Australia,YESep 2010,A bar or nightclub,171506
Australia,YESep 2011,A bar or nightclub,167657
Australia,YESep 2012,A bar or nightclub,186225
Australia,YESep 2013,A bar or nightclub,211970
Canada,YEMar 2015,A bar or nightclub,11455
Canada,YEMar 2016,A bar or nightclub,17151
Canada,YESep 1998,A bar or nightclub,5331
Canada,YESep 1999,A bar or nightclub,2877
Canada,YESep 2000,A bar or nightclub,4269
Canada,YESep 2001,A bar or nightclub,6104
Canada,YESep 2002,A bar or nightclub,4334
Canada,YESep 2003,A bar or nightclub,8264
Canada,YESep 2004,A bar or nightclub,8849
Canada,YESep 2005,A bar or nightclub,8045
Canada,YESep 2006,A bar or nightclub,8078
Canada,YESep 2007,A bar or nightclub,4690
Canada,YESep 2010,A bar or nightclub,7418
Canada,YESep 2011,A bar or nightclub,6932
Canada,YESep 2012,A bar or nightclub,6870
Canada,YESep 2013,A bar or nightclub,9053
China,YEDec 2002,A bar or nightclub,1067
China,YEDec 2003,A bar or nightclub,2429
China,YEDec 2004,A bar or nightclub,2529
China,YEDec 2005,A bar or nightclub,1227
China,YEDec 2006,A bar or nightclub,1095
China,YEDec 2007,A bar or nightclub,1315
China,YEDec 2008,A bar or nightclub,1675
China,YEDec 2009,A bar or nightclub,1509
China,YEDec 2010,A bar or nightclub,2796
China,YEDec 2011,A bar or nightclub,2668
China,YEDec 2012,A bar or nightclub,2683
China,YEDec 2013,A bar or nightclub,18354
Germany,YEDec 2002,A bar or nightclub,9335
Germany,YEDec 2003,A bar or nightclub,11540
Germany,YEDec 2004,A bar or nightclub,10558
Germany,YEDec 2005,A bar or nightclub,7936
Germany,YEDec 2006,A bar or nightclub,9776
Germany,YEDec 2007,A bar or nightclub,10968
Germany,YEDec 2008,A bar or nightclub,8459
Germany,YEDec 2009,A bar or nightclub,9703
Germany,YEDec 2010,A bar or nightclub,12684
Germany,YEDec 2011,A bar or nightclub,15023
Germany,YEDec 2012,A bar or nightclub,10153
Germany,YEDec 2013,A bar or nightclub,19501
Japan,YEDec 2002,A bar or nightclub,3760
Japan,YEDec 2003,A bar or nightclub,7730
Japan,YEDec 2004,A bar or nightclub,5972
Japan,YEDec 2005,A bar or nightclub,5643
Japan,YEDec 2006,A bar or nightclub,6391
Japan,YEDec 2007,A bar or nightclub,1284
Japan,YEDec 2008,A bar or nightclub,3173
Japan,YEDec 2009,A bar or nightclub,1709
Japan,YEDec 2010,A bar or nightclub,3330
Japan,YEDec 2011,A bar or nightclub,2142
Japan,YEDec 2012,A bar or nightclub,3496
Japan,YEDec 2013,A bar or nightclub,7578
"Korea, Republic of",YEDec 2001,A bar or nightclub,2283
"Korea, Republic of",YEDec 2002,A bar or nightclub,3560
"Korea, Republic of",YEDec 2003,A bar or nightclub,6990
"Korea, Republic of",YEDec 2004,A bar or nightclub,2973
"Korea, Republic of",YEDec 2005,A bar or nightclub,2794
"Korea, Republic of",YEDec 2006,A bar or nightclub,1098
"Korea, Republic of",YEDec 2007,A bar or nightclub,2024
"Korea, Republic of",YEDec 2008,A bar or nightclub,2451
"Korea, Republic of",YEDec 2009,A bar or nightclub,792
"Korea, Republic of",YEDec 2010,A bar or nightclub,667
"Korea, Republic of",YEDec 2011,A bar or nightclub,531
"Korea, Republic of",YEDec 2012,A bar or nightclub,379
"Korea, Republic of",YEDec 2013,A bar or nightclub,4393
Australia,YEJun 2015,A bar or nightclub,380747
Australia,YEMar 1998,A bar or nightclub,54615
Australia,YEMar 1999,A bar or nightclub,49540
Australia,YEMar 2000,A bar or nightclub,44382
Australia,YEMar 2001,A bar or nightclub,51114
Australia,YEMar 2002,A bar or nightclub,44884
Australia,YEMar 2003,A bar or nightclub,67681
Australia,YEMar 2004,A bar or nightclub,109439
Australia,YEMar 2005,A bar or nightclub,127985
Australia,YEMar 2006,A bar or nightclub,134923
Australia,YEMar 2007,A bar or nightclub,129179
Australia,YEMar 2008,A bar or nightclub,118275
Australia,YEMar 2009,A bar or nightclub,113436
Australia,YEMar 2010,A bar or nightclub,148001
Australia,YEMar 2011,A bar or nightclub,171101
Australia,YEMar 2012,A bar or nightclub,195720
Australia,YEMar 2013,A bar or nightclub,173021
Australia,YEMar 2014,A bar or nightclub,314820
Australia,YESep 2008,A bar or nightclub,122078
Australia,YESep 2009,A bar or nightclub,124464
Australia,YESep 2014,A bar or nightclub,373264
Australia,YESep 2015,A bar or nightclub,395024
Canada,YEJun 2015,A bar or nightclub,12419
Canada,YEMar 1998,A bar or nightclub,5132
Canada,YEMar 1999,A bar or nightclub,3654
Canada,YEMar 2000,A bar or nightclub,2811
Canada,YEMar 2001,A bar or nightclub,5847
Canada,YEMar 2002,A bar or nightclub,4621
Canada,YEMar 2003,A bar or nightclub,6607
Canada,YEMar 2004,A bar or nightclub,8646
Canada,YEMar 2005,A bar or nightclub,8979
Canada,YEMar 2006,A bar or nightclub,8317
Canada,YEMar 2007,A bar or nightclub,5789
Canada,YEMar 2008,A bar or nightclub,9033
Canada,YEMar 2009,A bar or nightclub,9453
Canada,YEMar 2010,A bar or nightclub,6078
Canada,YEMar 2011,A bar or nightclub,7925
Canada,YEMar 2012,A bar or nightclub,7120
Canada,YEMar 2013,A bar or nightclub,8896
Canada,YEMar 2014,A bar or nightclub,10471
Canada,YESep 2008,A bar or nightclub,10044
Canada,YESep 2009,A bar or nightclub,8815
Canada,YESep 2014,A bar or nightclub,12428
Canada,YESep 2015,A bar or nightclub,13582
China,YEDec 2014,A bar or nightclub,35352
China,YEDec 2015,A bar or nightclub,21938
China,YEJun 1999,A bar or nightclub,460
China,YEJun 2000,A bar or nightclub,234
China,YEJun 2001,A bar or nightclub,247
China,YEJun 2002,A bar or nightclub,1799
China,YEJun 2003,A bar or nightclub,1511
China,YEJun 2004,A bar or nightclub,2252
China,YEJun 2005,A bar or nightclub,2061
China,YEJun 2006,A bar or nightclub,762
China,YEJun 2007,A bar or nightclub,1111
China,YEJun 2008,A bar or nightclub,1313
China,YEJun 2009,A bar or nightclub,2073
China,YEJun 2010,A bar or nightclub,3070
China,YEJun 2011,A bar or nightclub,854
Germany,YEDec 2014,A bar or nightclub,26562
Germany,YEDec 2015,A bar or nightclub,27209
Germany,YEJun 1998,A bar or nightclub,6538
Germany,YEJun 1999,A bar or nightclub,4488
Germany,YEJun 2000,A bar or nightclub,5734
Germany,YEJun 2001,A bar or nightclub,5723
Germany,YEJun 2002,A bar or nightclub,8817
Germany,YEJun 2003,A bar or nightclub,8066
Germany,YEJun 2004,A bar or nightclub,14174
Germany,YEJun 2005,A bar or nightclub,8577
Germany,YEJun 2006,A bar or nightclub,10027
Germany,YEJun 2007,A bar or nightclub,8452
Germany,YEJun 2008,A bar or nightclub,9219
Germany,YEJun 2009,A bar or nightclub,8959
Germany,YEJun 2010,A bar or nightclub,13838
Germany,YEJun 2011,A bar or nightclub,13455
Japan,YEDec 2014,A bar or nightclub,19184
Japan,YEDec 2015,A bar or nightclub,9216
Japan,YEJun 1998,A bar or nightclub,6688
Japan,YEJun 1999,A bar or nightclub,5650
Japan,YEJun 2000,A bar or nightclub,2310
Japan,YEJun 2001,A bar or nightclub,3450
Japan,YEJun 2002,A bar or nightclub,3981
Japan,YEJun 2003,A bar or nightclub,7118
Japan,YEJun 2004,A bar or nightclub,5678
Japan,YEJun 2005,A bar or nightclub,4881
Japan,YEJun 2006,A bar or nightclub,6208
Japan,YEJun 2007,A bar or nightclub,4594
Japan,YEJun 2008,A bar or nightclub,2212
Japan,YEJun 2009,A bar or nightclub,2058
Japan,YEJun 2010,A bar or nightclub,3127
Japan,YEJun 2011,A bar or nightclub,2068
"Korea, Republic of",YEDec 2014,A bar or nightclub,11760
"Korea, Republic of",YEDec 2015,A bar or nightclub,5879
"Korea, Republic of",YEJun 1998,A bar or nightclub,741
"Korea, Republic of",YEJun 1999,A bar or nightclub,355
"Korea, Republic of",YEJun 2000,A bar or nightclub,973
"Korea, Republic of",YEJun 2001,A bar or nightclub,2521
"Korea, Republic of",YEJun 2002,A bar or nightclub,2327
"Korea, Republic of",YEJun 2003,A bar or nightclub,6946
"Korea, Republic of",YEJun 2004,A bar or nightclub,3294
"Korea, Republic of",YEJun 2005,A bar or nightclub,3154
"Korea, Republic of",YEJun 2006,A bar or nightclub,1038
"Korea, Republic of",YEJun 2007,A bar or nightclub,2499
"Korea, Republic of",YEJun 2008,A bar or nightclub,1731
"Korea, Republic of",YEJun 2009,A bar or nightclub,1855
"Korea, Republic of",YEJun 2010,A bar or nightclub,243
"Korea, Republic of",YEJun 2011,A bar or nightclub,1198
UK,YEDec 1997,A bar or nightclub,28124
UK,YEDec 1998,A bar or nightclub,30653
UK,YEDec 1999,A bar or nightclub,27456
UK,YEDec 2002,A bar or nightclub,52109
UK,YEDec 2003,A bar or nightclub,80382
UK,YEDec 2004,A bar or nightclub,77530
UK,YEDec 2005,A bar or nightclub,64367
UK,YEDec 2006,A bar or nightclub,67572
UK,YEDec 2007,A bar or nightclub,51339
UK,YEDec 2008,A bar or nightclub,51265
UK,YEDec 2009,A bar or nightclub,50382
UK,YEDec 2010,A bar or nightclub,57327
UK,YEDec 2011,A bar or nightclub,48892
UK,YEDec 2012,A bar or nightclub,38692
UK,YEDec 2013,A bar or nightclub,46855
UK,YEDec 2014,A bar or nightclub,75595
UK,YEDec 2015,A bar or nightclub,81498
UK,YEJun 1998,A bar or nightclub,32448
UK,YEJun 1999,A bar or nightclub,23541
UK,YEJun 2000,A bar or nightclub,38971
UK,YEJun 2001,A bar or nightclub,41290
USA,YEDec 1997,A bar or nightclub,11665
USA,YEDec 1998,A bar or nightclub,14475
USA,YEDec 1999,A bar or nightclub,12714
USA,YEDec 2006,A bar or nightclub,25743
USA,YEDec 2007,A bar or nightclub,14678
USA,YEDec 2008,A bar or nightclub,25222
USA,YEDec 2009,A bar or nightclub,19551
USA,YEDec 2010,A bar or nightclub,24176
USA,YEDec 2011,A bar or nightclub,17026
USA,YEDec 2012,A bar or nightclub,23013
USA,YEDec 2013,A bar or nightclub,30646
USA,YEDec 2014,A bar or nightclub,62910
USA,YEDec 2015,A bar or nightclub,59895
USA,YEJun 1998,A bar or nightclub,15990
USA,YEJun 1999,A bar or nightclub,12953
USA,YEJun 2000,A bar or nightclub,16562
USA,YEJun 2001,A bar or nightclub,14904
China,YEJun 2012,A bar or nightclub,4196
China,YEJun 2013,A bar or nightclub,2268
China,YEJun 2014,A bar or nightclub,36111
China,YEJun 2015,A bar or nightclub,26412
China,YEMar 1999,A bar or nightclub,460
China,YEMar 2000,A bar or nightclub,234
China,YEMar 2001,A bar or nightclub,247
China,YEMar 2002,A bar or nightclub,1268
China,YEMar 2003,A bar or nightclub,1279
China,YEMar 2004,A bar or nightclub,2786
China,YEMar 2005,A bar or nightclub,2111
China,YEMar 2006,A bar or nightclub,815
China,YEMar 2007,A bar or nightclub,1095
China,YEMar 2008,A bar or nightclub,1349
China,YEMar 2009,A bar or nightclub,1902
China,YEMar 2010,A bar or nightclub,2769
China,YEMar 2011,A bar or nightclub,1431
China,YEMar 2012,A bar or nightclub,4035
China,YEMar 2013,A bar or nightclub,2430
China,YEMar 2014,A bar or nightclub,25958
China,YEMar 2015,A bar or nightclub,28298
China,YEMar 2016,A bar or nightclub,28842
China,YESep 1998,A bar or nightclub,145
China,YESep 1999,A bar or nightclub,315
China,YESep 2000,A bar or nightclub,234
China,YESep 2001,A bar or nightclub,531
China,YESep 2002,A bar or nightclub,1515
China,YESep 2003,A bar or nightclub,2657
China,YESep 2004,A bar or nightclub,1725
China,YESep 2005,A bar or nightclub,1559
China,YESep 2006,A bar or nightclub,683
China,YESep 2007,A bar or nightclub,1961
China,YESep 2011,A bar or nightclub,2542
China,YESep 2012,A bar or nightclub,2487
China,YESep 2013,A bar or nightclub,11360
China,YESep 2014,A bar or nightclub,35094
China,YESep 2015,A bar or nightclub,27233
Germany,YEJun 2012,A bar or nightclub,11896
Germany,YEJun 2013,A bar or nightclub,15845
Germany,YEJun 2014,A bar or nightclub,24452
Germany,YEJun 2015,A bar or nightclub,27109
Germany,YEMar 1998,A bar or nightclub,6775
Germany,YEMar 1999,A bar or nightclub,4727
Germany,YEMar 2000,A bar or nightclub,3702
Germany,YEMar 2001,A bar or nightclub,7047
Germany,YEMar 2002,A bar or nightclub,8283
Germany,YEMar 2003,A bar or nightclub,7893
Germany,YEMar 2004,A bar or nightclub,13951
Germany,YEMar 2005,A bar or nightclub,7923
Germany,YEMar 2006,A bar or nightclub,10441
Germany,YEMar 2007,A bar or nightclub,8195
Germany,YEMar 2008,A bar or nightclub,10599
Germany,YEMar 2009,A bar or nightclub,7204
Germany,YEMar 2010,A bar or nightclub,13010
Germany,YEMar 2011,A bar or nightclub,13076
Germany,YEMar 2012,A bar or nightclub,12462
Germany,YEMar 2013,A bar or nightclub,15466
Germany,YEMar 2014,A bar or nightclub,21617
Germany,YEMar 2015,A bar or nightclub,24307
Germany,YEMar 2016,A bar or nightclub,30683
Germany,YESep 1998,A bar or nightclub,5925
Germany,YESep 1999,A bar or nightclub,4764
Germany,YESep 2000,A bar or nightclub,5465
Germany,YESep 2001,A bar or nightclub,6558
Germany,YESep 2002,A bar or nightclub,8060
Germany,YESep 2003,A bar or nightclub,9709
Germany,YESep 2004,A bar or nightclub,13667
Germany,YESep 2005,A bar or nightclub,7812
Germany,YESep 2006,A bar or nightclub,10422
Germany,YESep 2011,A bar or nightclub,13687
Germany,YESep 2012,A bar or nightclub,11109
Germany,YESep 2013,A bar or nightclub,17310
Germany,YESep 2014,A bar or nightclub,25654
Germany,YESep 2015,A bar or nightclub,26435
Japan,YEJun 2012,A bar or nightclub,2343
Japan,YEJun 2013,A bar or nightclub,2647
Japan,YEJun 2014,A bar or nightclub,16762
Japan,YEJun 2015,A bar or nightclub,13215
Japan,YEMar 1998,A bar or nightclub,7509
Japan,YEMar 1999,A bar or nightclub,5683
Japan,YEMar 2000,A bar or nightclub,2251
Japan,YEMar 2001,A bar or nightclub,2679
Japan,YEMar 2002,A bar or nightclub,4292
Japan,YEMar 2003,A bar or nightclub,5164
Japan,YEMar 2004,A bar or nightclub,6685
Japan,YEMar 2005,A bar or nightclub,5657
Japan,YEMar 2006,A bar or nightclub,6226
Japan,YEMar 2007,A bar or nightclub,5088
Japan,YEMar 2008,A bar or nightclub,2531
Japan,YEMar 2009,A bar or nightclub,1355
Japan,YEMar 2010,A bar or nightclub,3495
Japan,YEMar 2011,A bar or nightclub,2516
Japan,YEMar 2012,A bar or nightclub,1791
Japan,YEMar 2013,A bar or nightclub,3307
Japan,YEMar 2014,A bar or nightclub,14569
Japan,YEMar 2015,A bar or nightclub,13184
Japan,YEMar 2016,A bar or nightclub,10609
Japan,YESep 1998,A bar or nightclub,7456
Japan,YESep 1999,A bar or nightclub,4523
Japan,YESep 2000,A bar or nightclub,2702
Japan,YESep 2001,A bar or nightclub,3576
Japan,YESep 2002,A bar or nightclub,3606
Japan,YESep 2003,A bar or nightclub,7814
Japan,YESep 2004,A bar or nightclub,5848
Japan,YESep 2005,A bar or nightclub,5675
Japan,YESep 2006,A bar or nightclub,5554
Japan,YESep 2007,A bar or nightclub,2886
Japan,YESep 2011,A bar or nightclub,2500
Japan,YESep 2012,A bar or nightclub,2144
Japan,YESep 2013,A bar or nightclub,5478
Japan,YESep 2014,A bar or nightclub,18009
Japan,YESep 2015,A bar or nightclub,11706
"Korea, Republic of",YEJun 2012,A bar or nightclub,198
"Korea, Republic of",YEJun 2013,A bar or nightclub,701
"Korea, Republic of",YEJun 2014,A bar or nightclub,8748
"Korea, Republic of",YEJun 2015,A bar or nightclub,10262
"Korea, Republic of",YEMar 1998,A bar or nightclub,899
"Korea, Republic of",YEMar 1999,A bar or nightclub,548
"Korea, Republic of",YEMar 2000,A bar or nightclub,630
"Korea, Republic of",YEMar 2001,A bar or nightclub,1955
"Korea, Republic of",YEMar 2002,A bar or nightclub,2779
"Korea, Republic of",YEMar 2003,A bar or nightclub,5929
"Korea, Republic of",YEMar 2004,A bar or nightclub,4717
"Korea, Republic of",YEMar 2005,A bar or nightclub,3055
"Korea, Republic of",YEMar 2006,A bar or nightclub,1153
"Korea, Republic of",YEMar 2007,A bar or nightclub,2377
"Korea, Republic of",YEMar 2008,A bar or nightclub,1176
"Korea, Republic of",YEMar 2009,A bar or nightclub,2568
"Korea, Republic of",YEMar 2010,A bar or nightclub,243
"Korea, Republic of",YEMar 2011,A bar or nightclub,741
"Korea, Republic of",YEMar 2012,A bar or nightclub,486
"Korea, Republic of",YEMar 2013,A bar or nightclub,350
"Korea, Republic of",YEMar 2014,A bar or nightclub,7201
"Korea, Republic of",YEMar 2015,A bar or nightclub,9114
"Korea, Republic of",YEMar 2016,A bar or nightclub,5904
"Korea, Republic of",YESep 1998,A bar or nightclub,616
"Korea, Republic of",YESep 1999,A bar or nightclub,614
"Korea, Republic of",YESep 2000,A bar or nightclub,714
"Korea, Republic of",YESep 2001,A bar or nightclub,2928
"Korea, Republic of",YESep 2002,A bar or nightclub,2725
"Korea, Republic of",YESep 2003,A bar or nightclub,7824
"Korea, Republic of",YESep 2004,A bar or nightclub,2973
"Korea, Republic of",YESep 2005,A bar or nightclub,1928
"Korea, Republic of",YESep 2006,A bar or nightclub,1548
"Korea, Republic of",YESep 2007,A bar or nightclub,2316
"Korea, Republic of",YESep 2011,A bar or nightclub,918
"Korea, Republic of",YESep 2012,A bar or nightclub,238
"Korea, Republic of",YESep 2013,A bar or nightclub,2233
"Korea, Republic of",YESep 2014,A bar or nightclub,9204
"Korea, Republic of",YESep 2015,A bar or nightclub,10545
UK,YEDec 2000,A bar or nightclub,40210
UK,YEDec 2001,A bar or nightclub,38334
UK,YEJun 2002,A bar or nightclub,42431
UK,YEJun 2003,A bar or nightclub,69297
UK,YEJun 2004,A bar or nightclub,85682
UK,YEJun 2005,A bar or nightclub,58069
UK,YEJun 2006,A bar or nightclub,76867
UK,YEJun 2007,A bar or nightclub,55697
UK,YEJun 2008,A bar or nightclub,51392
UK,YEJun 2009,A bar or nightclub,46728
UK,YEJun 2010,A bar or nightclub,61385
UK,YEJun 2011,A bar or nightclub,44358
UK,YEJun 2012,A bar or nightclub,48585
UK,YEJun 2013,A bar or nightclub,39919
UK,YEJun 2014,A bar or nightclub,71433
UK,YEJun 2015,A bar or nightclub,79535
UK,YEMar 1998,A bar or nightclub,31265
UK,YEMar 1999,A bar or nightclub,25432
UK,YEMar 2000,A bar or nightclub,34127
UK,YEMar 2001,A bar or nightclub,40932
UK,YEMar 2002,A bar or nightclub,38531
UK,YEMar 2003,A bar or nightclub,65911
UK,YEMar 2004,A bar or nightclub,80540
UK,YEMar 2005,A bar or nightclub,67074
UK,YEMar 2006,A bar or nightclub,74201
UK,YEMar 2007,A bar or nightclub,60255
UK,YEMar 2008,A bar or nightclub,52265
UK,YEMar 2009,A bar or nightclub,46537
UK,YEMar 2010,A bar or nightclub,58440
UK,YEMar 2011,A bar or nightclub,48896
UK,YEMar 2012,A bar or nightclub,52963
UK,YEMar 2013,A bar or nightclub,38822
UK,YEMar 2014,A bar or nightclub,64581
UK,YEMar 2015,A bar or nightclub,78170
UK,YEMar 2016,A bar or nightclub,78976
UK,YESep 1998,A bar or nightclub,31787
UK,YESep 1999,A bar or nightclub,24359
UK,YESep 2000,A bar or nightclub,41350
UK,YESep 2001,A bar or nightclub,38719
UK,YESep 2002,A bar or nightclub,51216
UK,YESep 2003,A bar or nightclub,72963
UK,YESep 2004,A bar or nightclub,82504
UK,YESep 2005,A bar or nightclub,64798
UK,YESep 2006,A bar or nightclub,66214
UK,YESep 2007,A bar or nightclub,53451
UK,YESep 2008,A bar or nightclub,51651
UK,YESep 2009,A bar or nightclub,48662
UK,YESep 2010,A bar or nightclub,59806
UK,YESep 2011,A bar or nightclub,42990
UK,YESep 2012,A bar or nightclub,45745
UK,YESep 2013,A bar or nightclub,42290
UK,YESep 2014,A bar or nightclub,72215
UK,YESep 2015,A bar or nightclub,79537
USA,YEDec 2000,A bar or nightclub,17231
USA,YEDec 2001,A bar or nightclub,15427
USA,YEDec 2002,A bar or nightclub,19679
USA,YEDec 2003,A bar or nightclub,31506
USA,YEDec 2004,A bar or nightclub,28755
USA,YEDec 2005,A bar or nightclub,27040
USA,YEJun 2002,A bar or nightclub,18913
USA,YEJun 2003,A bar or nightclub,25642
USA,YEJun 2004,A bar or nightclub,33516
USA,YEJun 2005,A bar or nightclub,20210
USA,YEJun 2006,A bar or nightclub,31286
USA,YEJun 2007,A bar or nightclub,19184
USA,YEJun 2008,A bar or nightclub,20133
USA,YEJun 2009,A bar or nightclub,21720
USA,YEJun 2010,A bar or nightclub,26493
USA,YEJun 2011,A bar or nightclub,15803
USA,YEJun 2012,A bar or nightclub,20580
USA,YEJun 2013,A bar or nightclub,21229
USA,YEJun 2014,A bar or nightclub,57537
USA,YEJun 2015,A bar or nightclub,56888
USA,YEMar 1998,A bar or nightclub,14513
USA,YEMar 1999,A bar or nightclub,12109
USA,YEMar 2000,A bar or nightclub,15774
USA,YEMar 2001,A bar or nightclub,16768
USA,YEMar 2002,A bar or nightclub,15729
USA,YEMar 2003,A bar or nightclub,25982
USA,YEMar 2004,A bar or nightclub,30983
USA,YEMar 2005,A bar or nightclub,22893
USA,YEMar 2006,A bar or nightclub,30339
USA,YEMar 2007,A bar or nightclub,20598
USA,YEMar 2008,A bar or nightclub,19320
USA,YEMar 2009,A bar or nightclub,24550
USA,YEMar 2010,A bar or nightclub,24514
USA,YEMar 2011,A bar or nightclub,17288
USA,YEMar 2012,A bar or nightclub,19283
USA,YEMar 2013,A bar or nightclub,20851
USA,YEMar 2014,A bar or nightclub,48824
USA,YEMar 2015,A bar or nightclub,53051
USA,YEMar 2016,A bar or nightclub,74945
USA,YESep 1998,A bar or nightclub,16467
USA,YESep 1999,A bar or nightclub,12145
USA,YESep 2000,A bar or nightclub,19159
USA,YESep 2001,A bar or nightclub,12794
USA,YESep 2002,A bar or nightclub,19983
USA,YESep 2003,A bar or nightclub,28743
USA,YESep 2004,A bar or nightclub,31188
USA,YESep 2005,A bar or nightclub,21745
USA,YESep 2006,A bar or nightclub,30281
USA,YESep 2007,A bar or nightclub,16912
USA,YESep 2008,A bar or nightclub,23092
USA,YESep 2009,A bar or nightclub,20546
USA,YESep 2010,A bar or nightclub,25151
USA,YESep 2011,A bar or nightclub,16692
USA,YESep 2012,A bar or nightclub,19567
USA,YESep 2013,A bar or nightclub,25083
USA,YESep 2014,A bar or nightclub,61365
USA,YESep 2015,A bar or nightclub,57985
Australia,YEJun 1999,A beach,76124
Australia,YEJun 2003,A beach,105303
Australia,YEJun 2004,A beach,157056
Australia,YEJun 2005,A beach,179848
Australia,YEJun 2006,A beach,190188
Australia,YEJun 2007,A beach,193761
Australia,YESep 1998,A beach,81184
Australia,YESep 1999,A beach,74989
Australia,YESep 2002,A beach,72200
Australia,YESep 2003,A beach,114475
